UUUUU  0 ns
#1
UUUU1  6.10308 ns
U1UU1  6.644117 ns
01UU1  7.34804 ns
010U1  8.372429 ns
11001  108.270166 ns
11101  109.056089 ns
11111  202.87071 ns
11101  204.41797 ns
10101  205.192874 ns
11101  206.706717 ns
01101  207.147977 ns
00101  207.383548 ns
00100  207.472638 ns
00110  208.263383 ns
00100  302.87071 ns
00000  304.208045 ns
10000  304.338086 ns
10001  304.856553 ns
11001  305.331528 ns
11101  306.475895 ns
11100  307.472638 ns
11110  308.263383 ns
11100  402.87071 ns
11110  404.41797 ns
10110  404.516043 ns
00110  404.957303 ns
01110  405.192874 ns
01010  406.337241 ns
00010  407.214443 ns
10010  407.655703 ns
00010  407.751699 ns
00011  408.270166 ns
01011  504.516043 ns
01001  504.570724 ns
11001  504.957303 ns
10001  505.192874 ns
10101  505.908059 ns
00101  507.751699 ns
01101  507.911722 ns
01100  508.270166 ns
01101  509.019744 ns
01111  509.810489 ns
11111  605.26185 ns
11110  605.780317 ns
11100  606.274115 ns
11101  606.595164 ns
11001  607.61145 ns
01001  607.751699 ns
00001  607.911722 ns
00000  608.270166 ns
00001  609.019744 ns
00101  609.056089 ns
00111  702.125175 ns
00011  703.46251 ns
01011  704.585993 ns
11011  705.26185 ns
11111  705.73036 ns
11110  705.780317 ns
11100  707.136818 ns
10100  707.214443 ns
00100  707.655703 ns
10100  707.751699 ns
10101  708.270166 ns
10001  708.474153 ns
10000  709.019744 ns
11000  709.597636 ns
11010  709.810489 ns
11110  710.742003 ns
11100  804.41797 ns
10100  804.516043 ns
00100  804.957303 ns
00000  805.755305 ns
00010  806.274115 ns
00011  806.595164 ns
01011  806.706717 ns
11011  807.147977 ns
10011  807.383548 ns
10001  807.385909 ns
10101  807.61145 ns
10001  808.527915 ns
11001  907.234891 ns
01001  907.676151 ns
11001  907.751699 ns
10001  907.911722 ns
10000  908.270166 ns
10001  909.019744 ns
10101  909.056089 ns
10111  909.810489 ns
10101  1002.87071 ns
10001  1004.208045 ns
00001  1005.26185 ns
01001  1005.331528 ns
01000  1005.780317 ns
00000  1007.234891 ns
10000  1007.676151 ns
00000  1007.751699 ns
01000  1007.911722 ns
01001  1008.270166 ns
01011  1102.125175 ns
01111  1103.46251 ns
00111  1104.516043 ns
10111  1104.957303 ns
10101  1302.87071 ns
00101  1303.526895 ns
00111  1304.41797 ns
01111  1304.516043 ns
01110  1304.891773 ns
11110  1304.957303 ns
10110  1305.192874 ns
00110  1305.26185 ns
00100  1305.682518 ns
00000  1306.337241 ns
00010  1307.151589 ns
00110  1308.488924 ns
10110  1403.526895 ns
11110  1404.516043 ns
01110  1404.957303 ns
00110  1405.192874 ns
10110  1405.26185 ns
11110  1407.234891 ns
01110  1407.676151 ns
00110  1407.911722 ns
01110  1507.234891 ns
11110  1507.676151 ns
01110  1507.751699 ns
00110  1507.911722 ns
00111  1508.270166 ns
00110  1509.019744 ns
00010  1509.056089 ns
00000  1509.810489 ns
10000  1603.526895 ns
10001  1604.045362 ns
11001  1605.479488 ns
01001  1606.041477 ns
01000  1606.559944 ns
01010  1607.136818 ns
00010  1607.234891 ns
00011  1607.309522 ns
00001  1608.100267 ns
00101  1608.474153 ns
01101  1704.516043 ns
11101  1704.957303 ns
10101  1705.192874 ns
00101  1706.041477 ns
00001  1706.337241 ns
00000  1706.559944 ns
00001  1707.309522 ns
00011  1708.100267 ns
10011  1803.526895 ns
10010  1804.045362 ns
11010  1805.479488 ns
01010  1805.920748 ns
01000  1806.274115 ns
01001  1806.595164 ns
01011  1807.385909 ns
01111  1807.61145 ns
11111  1905.26185 ns
11110  1905.780317 ns
11100  1906.274115 ns
11101  1906.595164 ns
11001  1907.61145 ns
01001  1907.751699 ns
00001  1907.911722 ns
00000  1908.270166 ns
00001  1909.019744 ns
00101  1909.056089 ns
00111  2002.87071 ns
00011  2004.208045 ns
10011  2005.26185 ns
11011  2005.331528 ns
11010  2005.780317 ns
10010  2007.234891 ns
00010  2007.676151 ns
10010  2007.751699 ns
11010  2007.911722 ns
11011  2008.270166 ns
11001  2102.125175 ns
11101  2103.46251 ns
10101  2104.585993 ns
10001  2105.73036 ns
10011  2106.406054 ns
10010  2106.727103 ns
10000  2107.136818 ns
11000  2107.234891 ns
11010  2107.517848 ns
01010  2107.676151 ns
01000  2204.570724 ns
00000  2205.192874 ns
00100  2205.908059 ns
00000  2206.337241 ns
10000  2405.26185 ns
10001  2405.780317 ns
10011  2407.136818 ns
11011  2407.214443 ns
01011  2407.655703 ns
01111  2408.474153 ns
00111  2409.597636 ns
00011  2410.742003 ns
00001  2502.87071 ns
00011  2504.41797 ns
01011  2504.516043 ns
11011  2504.957303 ns
10011  2505.192874 ns
10111  2506.337241 ns
11111  2507.214443 ns
01111  2507.655703 ns
11111  2507.751699 ns
11110  2508.270166 ns
11100  2602.125175 ns
11000  2603.46251 ns
01000  2603.526895 ns
00000  2604.516043 ns
10000  2604.957303 ns
00000  2605.26185 ns
01000  2607.234891 ns
11000  2607.676151 ns
01000  2607.751699 ns
00000  2607.911722 ns
00001  2608.270166 ns
00000  2609.019744 ns
00100  2609.056089 ns
00110  2609.810489 ns
01110  2707.234891 ns
11110  2707.676151 ns
01110  2707.751699 ns
00110  2707.911722 ns
00111  2708.270166 ns
00110  2709.019744 ns
00010  2709.056089 ns
00000  2709.810489 ns
10000  2803.526895 ns
10001  2804.045362 ns
11001  2805.479488 ns
01001  2806.041477 ns
01000  2806.559944 ns
01010  2807.136818 ns
00010  2807.234891 ns
00011  2807.309522 ns
00001  2808.100267 ns
00101  2808.474153 ns
10101  2903.526895 ns
10100  2904.045362 ns
10110  2904.41797 ns
10010  2905.755305 ns
11010  2906.706717 ns
01010  2907.147977 ns
00010  2907.383548 ns
00110  2908.527915 ns
00100  3002.125175 ns
00000  3003.46251 ns
01000  3004.585993 ns
01100  3005.73036 ns
01110  3006.406054 ns
01111  3006.727103 ns
01101  3007.136818 ns
00101  3007.234891 ns
00111  3007.517848 ns
10111  3007.676151 ns
10101  3104.41797 ns
11101  3104.516043 ns
01101  3104.957303 ns
01001  3105.755305 ns
01011  3106.274115 ns
01010  3106.595164 ns
00010  3106.706717 ns
10010  3107.147977 ns
11010  3107.383548 ns
11000  3107.385909 ns
11100  3107.61145 ns
11000  3108.527915 ns
#4
10000  3.123524 ns
10010  3.845898 ns
10110  4.123588 ns
10100  6.37031 ns
11100  6.617683 ns
01100  6.926827 ns
01110  7.195788 ns
01111  8.574896 ns
01101  9.144856 ns
01001  9.918267 ns
00001  103.123524 ns
00011  103.845898 ns
00111  104.123588 ns
00011  104.619309 ns
01011  105.618348 ns
11011  105.927492 ns
11001  107.195788 ns
11011  108.118896 ns
11001  109.144856 ns
11101  109.918267 ns
10101  202.863246 ns
10111  203.58562 ns
10011  203.86331 ns
11011  205.669508 ns
11001  206.391882 ns
11101  206.669572 ns
10101  206.89872 ns
00101  207.207864 ns
00111  208.568116 ns
00110  209.947224 ns
01110  302.863246 ns
01100  303.58562 ns
01000  303.86331 ns
01100  304.359031 ns
01101  308.479087 ns
01111  308.568116 ns
11111  309.188333 ns
11110  309.947224 ns
10110  402.863246 ns
10100  403.58562 ns
10000  403.86331 ns
10010  406.391882 ns
10011  407.450597 ns
00011  408.159843 ns
01011  505.618348 ns
11011  505.927492 ns
11001  506.651688 ns
11000  507.450597 ns
11001  508.030796 ns
01001  508.159843 ns
01011  508.600756 ns
01111  509.374167 ns
00111  605.524647 ns
00101  606.115357 ns
00001  606.524711 ns
00011  608.031785 ns
00001  608.064425 ns
00101  608.837836 ns
01101  703.123524 ns
01111  703.845898 ns
01011  704.123588 ns
00011  705.647936 ns
00001  706.37031 ns
01001  706.397729 ns
01101  706.648 ns
11101  706.706873 ns
11111  708.031785 ns
11110  709.410893 ns
10110  805.669508 ns
10100  806.115357 ns
10000  806.669572 ns
10001  807.494465 ns
11001  905.524647 ns
11101  906.524711 ns
10101  906.617683 ns
00101  906.926827 ns
00100  908.029867 ns
00110  908.118896 ns
10110  908.739113 ns
10111  909.498004 ns
11111  1002.863246 ns
11101  1003.58562 ns
11001  1003.86331 ns
11101  1004.359031 ns
