UUU  0 ns
#1
U0U  3.957996 ns
U01  4.994801 ns
011  703.657772 ns
001  801.665917 ns
011  804.205307 ns
001  901.665917 ns
000  902.770133 ns
010  903.092997 ns
000  904.205307 ns
100  1001.935919 ns
110  1003.657772 ns
100  1004.205307 ns
101  1006.273149 ns
001  1101.341999 ns
011  1101.665917 ns
010  1102.740988 ns
011  1103.733759 ns
111  1301.341999 ns
101  1301.665917 ns
100  1302.740988 ns
101  1303.733759 ns
111  1401.665917 ns
110  1402.770133 ns
100  1403.092997 ns
110  1404.205307 ns
010  1501.341999 ns
110  1501.935919 ns
111  1502.740988 ns
101  1503.657772 ns
#18
111  203.124514 ns
110  203.248231 ns
010  203.779248 ns
000  204.085021 ns
001  303.170895 ns
101  303.200891 ns
001  304.015989 ns
011  304.321762 ns
001  502.539757 ns
000  502.663474 ns
100  504.015989 ns
110  504.321762 ns
100  603.124514 ns
101  603.170895 ns
001  603.200891 ns
000  603.248231 ns
001  703.170895 ns
101  703.200891 ns
001  704.015989 ns
011  704.321762 ns
010  903.749252 ns
000  904.085021 ns
010  1002.539757 ns
011  1002.663474 ns
111  1004.015989 ns
101  1004.321762 ns
111  1103.124514 ns
110  1103.170895 ns
010  1103.200891 ns
011  1103.248231 ns
001  1303.124514 ns
000  1303.170895 ns
100  1303.200891 ns
101  1303.248231 ns
100  1403.749252 ns
110  1404.085021 ns
111  1503.170895 ns
011  1503.200891 ns
111  1504.015989 ns
101  1504.321762 ns
#19
001  202.491077 ns
011  203.921295 ns
010  204.280029 ns
000  204.486706 ns
001  300.626492 ns
101  301.960416 ns
001  302.694221 ns
011  304.124439 ns
111  502.694221 ns
101  504.124439 ns
100  504.983662 ns
110  505.190339 ns
111  600.626492 ns
011  601.960416 ns
010  604.280029 ns
000  604.486706 ns
001  700.626492 ns
101  701.960416 ns
001  702.694221 ns
011  704.124439 ns
010  901.157153 ns
000  903.921295 ns
100  1002.694221 ns
110  1004.124439 ns
111  1004.983662 ns
101  1005.190339 ns
